horizon,size_bucket,label,rows,school_count,mae,median_ae,p95_ae,rmse,wape,bias,mean_error,top100_mean_abs_error,top100_median_abs_error,abs_error_1000_count,actual_base_ratio_3_count,base_le_300_actual_ge_1000_count,level_r2,delta_r2
1,301_to_700,old_R3_tuned_final,15662,4528,17.085871186574593,12.933043078656567,46.46443060032575,23.680299928044256,0.03586626420035482,0.6957133106302129,0.6957133106302129,116.30041520581355,110.90802209145693,0,0,0,0.9574175407321595,0.44455930619789186
1,61_to_300,old_R3_tuned_final,9970,3031,9.559299555808584,7.121338470262003,26.00064587831614,13.414104707481082,0.058109046781994064,1.3506716932429268,1.3506716932429268,62.00964179426187,58.43924227043257,0,0,0,0.9671267249898752,0.36499729461542196
1,701_to_1000,old_R3_tuned_final,5538,1840,23.621821590279424,18.41646353158768,62.02742777385475,32.017216137285004,0.029323664696171706,-1.466458147375286,-1.466458147375286,117.76826093238658,108.98131225567022,0,0,0,0.8839865216869313,0.46844680952548
1,over_1000,old_R3_tuned_final,1827,590,29.19277469065718,23.38493837291037,76.26792008543877,38.6546420722382,0.02577288122185793,1.3850226364698246,1.3850226364698246,99.03100273358321,88.77586230510167,0,0,0,0.9385356908447539,0.460932273680282
1,up_to_60,old_R3_tuned_final,8172,2272,3.779771210032573,2.9374477949480724,10.194678597984362,5.107730530704368,0.12375215477842845,0.35388433523679025,0.35388433523679025,18.892972855586223,17.14181605468684,0,9,0,0.8834041183954906,0.1401188208504648
2,301_to_700,old_R3_tuned_final,15559,4501,31.027636489969925,23.984432991200777,83.2135373855493,41.93914800804747,0.06659678966655627,0.3729460525495682,0.3729460525495682,182.9692993960951,172.46013871791462,0,0,0,0.8784733559931703,0.36879177779272065
2,61_to_300,old_R3_tuned_final,9696,2905,16.065781512427982,11.755183192546617,44.503186839748004,22.62087096429172,0.10218837805066962,1.4945693861718872,1.4945693861718872,101.1534932684404,95.26404353262309,0,0,0,0.9099568412973537,0.2924410873708423
2,701_to_1000,old_R3_tuned_final,5857,1951,44.69674718549336,35.63135719133584,116.76393514534902,58.427562480811176,0.056874886922223776,-4.987558058602936,-4.987558058602936,188.61055391856775,172.49215518931794,0,0,0,0.7199584299790183,0.3864527569620665
2,over_1000,old_R3_tuned_final,1997,650,53.20459165832326,43.623629964167094,133.84664119155215,67.93179064360007,0.04814406463595533,0.16481437319691433,0.16481437319691433,169.37253414746712,156.6042895652879,0,0,0,0.8367478253416867,0.4265233892894482
2,up_to_60,old_R3_tuned_final,7890,2183,5.841381829909599,4.466542033880451,15.452087928854574,7.899395746675842,0.19326912893128945,-0.42204633236433486,-0.42204633236433486,30.425136897718218,27.992277101134526,0,16,0,0.7317400553428051,0.039435051737369164
3,301_to_700,old_R3_tuned_final,15314,4486,43.570646056090986,34.43056487710513,115.70119150736605,58.54443881245414,0.09573954608904915,-1.1955838884603476,-1.1955838884603476,256.9666602284506,241.75509382523285,0,0,0,0.78433774214518,0.2978186419277796
3,61_to_300,old_R3_tuned_final,9439,2840,21.49614356082212,15.737544511274166,59.37302518815903,30.571709546038683,0.14278975433984173,1.0418828550447503,1.0418828550447503,140.94762460291005,132.37748744647766,0,0,0,0.842996993452646,0.21879813039030416
3,701_to_1000,old_R3_tuned_final,6198,2102,61.01690198000222,50.73221941665605,152.3519810458065,78.37986181789861,0.08001556343449008,-6.697234223752693,-6.697234223752693,254.84973795237468,242.55006353395277,0,0,0,0.6084674506570518,0.3541729393647175
3,over_1000,old_R3_tuned_final,2248,750,73.59572638989259,62.764539784795716,180.1793520319358,92.68250231967616,0.06877098876527139,0.6918413679799155,0.6918413679799155,229.4887227550193,212.53900005475396,0,0,0,0.7356674868811219,0.3978109807371225
3,up_to_60,old_R3_tuned_final,7635,2119,7.463294828884873,5.812998823744747,19.518354576523983,10.080409792862683,0.2488384187225636,-1.132384449721907,-1.132384449721907,38.697074943252986,35.50408125210264,0,25,0,0.5860720162714711,0.0002599760299688558
4,301_to_700,old_R3_tuned_final,14880,4432,52.565824913228276,41.205109983792084,142.43507136387316,70.60646678049196,0.11863903932146104,-3.0402505577794066,-3.0402505577794066,308.5392453906928,294.49082320284487,0,0,0,0.711147684921226,0.28645163172117105
4,61_to_300,old_R3_tuned_final,9170,2776,24.80682654701854,18.074721307776983,67.88154516346339,35.686324669107535,0.172174315409242,0.2962834754369907,0.2962834754369907,170.3702936282747,155.1286726870107,0,0,0,0.7927221356444862,0.20707779026008588
4,701_to_1000,old_R3_tuned_final,6607,2331,72.90548976137586,61.435608226364025,179.64082952062807,93.04740024684368,0.099184075673858,-10.303797883907402,-10.303797883907402,304.40642144527084,291.35897354328523,0,0,0,0.5408845974547182,0.3535457389439104
4,over_1000,old_R3_tuned_final,2573,873,89.76239550165185,79.12228612161789,208.28488973190662,111.5552311089579,0.08693928466863622,-5.641892438177192,-5.641892438177192,276.51105098039307,253.4045473904754,0,0,0,0.6550820269828987,0.37599662520648847
