school_key,school_name,school_level,sido,sgg,base_year,target_year,horizon,base_student_count,actual_student_count,r_stage,segment_strategy,model_family,segment,predicted_student_count,abs_error,predicted_delta,predicted_decline_rate,error
대구|수성구|초등학교|대구동천초등학교|본교,대구동천초등학교,초등학교,대구,수성구,2018,2023,5,1127.0,1722.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,1137.782619030606,584.2173809693941,10.782619030605929,0.009567541287139245,-584.2173809693941
경기|안산시|중학교|원곡중학교|본교,원곡중학교,중학교,경기,안산시,2019,2024,5,672.0,1085.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,541.3840643784133,543.6159356215867,-130.6159356215867,-0.19436895181783734,-543.6159356215867
경기|안산시|중학교|원곡중학교|본교,원곡중학교,중학교,경기,안산시,2018,2023,5,605.0,1024.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,484.62092452217416,539.3790754778258,-120.37907547782584,-0.19897367847574518,-539.3790754778258
서울|강남구|중학교|중동중학교|본교,중동중학교,중학교,서울,강남구,2018,2023,5,585.0,976.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,440.311773473049,535.688226526951,-144.68822652695098,-0.24733030175547177,-535.688226526951
경기|안산시|초등학교|관산초등학교|본교,관산초등학교,초등학교,경기,안산시,2018,2023,5,697.0,1145.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,614.2344081511873,530.7655918488127,-82.76559184881273,-0.11874546893660363,-530.7655918488127
충남|아산시|중학교|탕정중학교|본교,탕정중학교,중학교,충남,아산시,2019,2024,5,844.0,1446.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,916.6949994973588,529.3050005026412,72.69499949735882,0.0861315159921313,-529.3050005026412
울산|북구|고등학교|호계고등학교|본교,호계고등학교,고등학교,울산,북구,2019,2024,5,687.0,1022.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,511.7288545432934,510.2711454567066,-175.27114545670662,-0.25512539367788445,-510.2711454567066
서울|강남구|중학교|개원중학교|본교,개원중학교,중학교,서울,강남구,2018,2023,5,559.0,896.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,393.1213078347356,502.8786921652644,-165.8786921652644,-0.2967418464494891,-502.8786921652644
충남|아산시|중학교|탕정중학교|본교,탕정중학교,중학교,충남,아산시,2018,2023,5,770.0,1249.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,746.8220795342128,502.1779204657872,-23.177920465787224,-0.030101195410113277,-502.1779204657872
서울|강남구|중학교|중동중학교|본교,중동중학교,중학교,서울,강남구,2019,2024,5,593.0,951.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,450.539449698818,500.460550301182,-142.46055030118202,-0.24023701568496125,-500.460550301182
경기|안산시|초등학교|관산초등학교|본교,관산초등학교,초등학교,경기,안산시,2018,2022,4,697.0,1103.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,605.5798823300713,497.4201176699287,-91.42011766992869,-0.13116229220936684,-497.4201176699287
서울|양천구|초등학교|서울신은초등학교|본교,서울신은초등학교,초등학교,서울,양천구,2019,2024,5,1111.0,449.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,945.5865123885628,496.5865123885628,-165.41348761143718,-0.14888702755304875,496.5865123885628
대구|달서구|초등학교|대구장동초등학교|본교,대구장동초등학교,초등학교,대구,달서구,2020,2025,5,886.0,1288.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,793.725533638887,494.274466361113,-92.27446636111301,-0.1041472532292472,-494.274466361113
울산|북구|고등학교|호계고등학교|본교,호계고등학교,고등학교,울산,북구,2020,2025,5,684.0,1031.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,538.5254272742751,492.4745727257249,-145.4745727257249,-0.21268212386801885,-492.4745727257249
서울|영등포구|초등학교|서울대영초등학교|본교,서울대영초등학교,초등학교,서울,영등포구,2018,2023,5,611.0,1017.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,527.1809491878654,489.8190508121346,-83.8190508121346,-0.13718338921789625,-489.8190508121346
강원|춘천시|초등학교|부안초등학교|본교,부안초등학교,초등학교,강원,춘천시,2018,2023,5,484.0,940.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,452.7370464565489,487.2629535434511,-31.26295354345109,-0.06459287922200638,-487.2629535434511
대구|수성구|초등학교|대구동천초등학교|본교,대구동천초등학교,초등학교,대구,수성구,2019,2023,4,1216.0,1722.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,1242.919505024349,479.08049497565094,26.919505024349064,0.022137750842392324,-479.08049497565094
대구|달서구|초등학교|대구장동초등학교|본교,대구장동초등학교,초등학교,대구,달서구,2021,2025,4,897.0,1288.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,810.8110250319378,477.1889749680622,-86.18897496806221,-0.09608581378825219,-477.1889749680622
서울|강남구|중학교|개원중학교|본교,개원중학교,중학교,서울,강남구,2019,2024,5,517.0,886.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,412.2611892151335,473.7388107848665,-104.73881078486647,-0.2025895759862021,-473.7388107848665
대전|대덕구|초등학교|대전새여울초등학교|본교,대전새여울초등학교,초등학교,대전,대덕구,2017,2022,5,487.0,1058.0,R5,optuna_tuned,HistGradientBoostingRegressor,all,587.9820781601111,470.0179218398889,100.98207816011109,0.20735539663267163,-470.0179218398889
