column_name,korean_label,description_ko,dtype,example,web_usage
school_key,school_key,웹 시각화 및 발표용 최종 시나리오 컬럼,str,경북|영덕군|초등학교|영덕야성초등학교|본교,map/detail/ranking/filter
school_name,school_name,웹 시각화 및 발표용 최종 시나리오 컬럼,str,영덕야성초등학교,map/detail/ranking/filter
sido,sido,웹 시각화 및 발표용 최종 시나리오 컬럼,str,경북,map/detail/ranking/filter
sgg,sgg,웹 시각화 및 발표용 최종 시나리오 컬럼,str,영덕군,map/detail/ranking/filter
school_level,school_level,웹 시각화 및 발표용 최종 시나리오 컬럼,str,초등학교,map/detail/ranking/filter
school_status_2025,school_status_2025,웹 시각화 및 발표용 최종 시나리오 컬럼,str,기존(원)교,map/detail/ranking/filter
latitude,latitude,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,36.4132047,map/detail/ranking/filter
longitude,longitude,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,129.3689883,map/detail/ranking/filter
coordinate_valid,coordinate_valid,웹 시각화 및 발표용 최종 시나리오 컬럼,bool,True,map/detail/ranking/filter
coordinate_source,coordinate_source,웹 시각화 및 발표용 최종 시나리오 컬럼,str,eduinfo_current_match,map/detail/ranking/filter
coordinate_quality_flag,coordinate_quality_flag,웹 시각화 및 발표용 최종 시나리오 컬럼,object,valid,map/detail/ranking/filter
student_count_2025,student_count_2025,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,457.0,map/detail/ranking/filter
pred_student_count_2026,pred_student_count_2026,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,428.5481701427699,map/detail/ranking/filter
pred_student_count_2027,pred_student_count_2027,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,404.2726501902776,map/detail/ranking/filter
pred_student_count_2028,pred_student_count_2028,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,377.6738428133698,map/detail/ranking/filter
pred_student_count_2029,pred_student_count_2029,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,344.6762302997374,map/detail/ranking/filter
pred_student_count_2030,2030 예측 학생수,웹 시각화 및 발표용 최종 시나리오 컬럼,float64,306.6651800038261,map/detail/ranking/filter
