sido,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
강원,2025,591,591,119268.0,201.80710659898477,76.0,275,,,,2.6893963693059297,0.0,0.0
강원,2026,591,591,115194.19802126201,194.91404064511337,71.81418745794976,276,,,,2.6893963693059297,-4073.801978737989,-0.034156705727755886
강원,2027,591,591,111187.72757339492,188.13490283146348,69.78764870612501,279,,,,2.6893963693059297,-8080.272426605079,-0.06774887167224301
강원,2028,591,591,107616.11807829434,182.09157035244388,65.44368635800527,283,,,,2.6893963693059297,-11651.881921705659,-0.09769495524118506
강원,2029,591,591,104465.52678916696,176.760620624648,60.81207093610716,294,,,,2.6893963693059297,-14802.473210833035,-0.12411102064957101
강원,2030,591,591,101474.57627156956,171.69979064563378,58.48180963619152,296,364.0,189.0,222.0,2.6893963693059297,-17793.42372843044,-0.14918858141689673
경기,2025,2037,2037,985081.0,483.5940108001964,463.0,188,,,,0.4745346759200508,0.0,0.0
경기,2026,2037,2037,952238.01502059,467.47079775188513,446.8914253690389,197,,,,0.4745346759200508,-32842.98497940996,-0.033340390261724626
경기,2027,2037,2037,919751.1572576347,451.52241397036556,427.1188535260232,210,,,,0.4745346759200508,-65329.84274236532,-0.06631925977900835
경기,2028,2037,2037,888616.1945117665,436.2376998094092,405.5073967195172,228,,,,0.4745346759200508,-96464.80548823345,-0.0979257599001843
경기,2029,2037,2037,860092.5125707382,422.2349104421886,386.1716027648444,240,,,,0.4745346759200508,-124988.48742926179,-0.12688143150589828
경기,2030,2037,2037,835220.7750738668,410.02492639856007,366.20706808062965,254,1444.0,74.0,135.0,0.4745346759200508,-149860.22492613317,-0.15212985016068037
경남,2025,871,871,260535.0,299.12169919632606,232.0,256,,,,1.5237105390961037,0.0,0.0
경남,2026,871,871,250846.73442784208,287.99854698948576,216.51772879993905,258,,,,1.5237105390961037,-9688.265572157921,-0.037186042459392867
경남,2027,871,871,241271.3935631049,277.0050442745177,206.32696635482975,267,,,,1.5237105390961037,-19263.60643689509,-0.07393865099466516
경남,2028,871,871,233220.6258526253,267.7619125747707,193.44175072278773,270,,,,1.5237105390961037,-27314.374147374707,-0.10483955763093138
경남,2029,871,871,226193.5492301624,259.6940863721727,181.6915852421459,275,,,,1.5237105390961037,-34341.4507698376,-0.13181127591240177
경남,2030,871,871,220252.98950112791,252.87369632735695,172.59152288457153,282,596.0,167.0,212.0,1.5237105390961037,-40282.010498872085,-0.15461266432100135
경북,2025,858,858,192161.0,223.96386946386946,113.5,353,,,,2.4933898770156175,0.0,0.0
경북,2026,858,858,185773.01754691903,216.5186684696026,105.17783022938579,357,,,,2.4933898770156175,-6387.982453080971,-0.033242866414522045
경북,2027,858,858,179107.0425947773,208.74946689367985,100.7143898129857,360,,,,2.4933898770156175,-13053.957405222696,-0.06793239733984886
경북,2028,858,858,172810.5267304356,201.41087031519302,95.55181998051417,373,,,,2.4933898770156175,-19350.47326956439,-0.10069927440825345
경북,2029,858,858,167787.3940042624,195.5564032683711,92.09665219527146,380,,,,2.4933898770156175,-24373.6059957376,-0.12683950435175503
경북,2030,858,858,163314.31068391207,190.34301944511895,90.52456483574342,389,538.0,262.0,288.0,2.4933898770156175,-28846.689316087926,-0.15011729391545592
광주,2025,278,278,130766.0,470.38129496402877,472.0,9,,,,0.09190504501501476,0.0,0.0
광주,2026,278,278,125755.25757397187,452.3570416329924,454.3944152887994,9,,,,0.09190504501501476,-5010.742426028126,-0.038318388770996484
광주,2027,278,278,120952.0783049462,435.07941836311585,441.8946290403665,10,,,,0.09190504501501476,-9813.921695053796,-0.07504949065547463
광주,2028,278,278,116746.22038170487,419.95043302771535,427.5927525640801,10,,,,0.09190504501501476,-14019.779618295128,-0.10721272821907168
광주,2029,278,278,112832.4587438776,405.87215375495543,414.09617134953453,11,,,,0.09190504501501476,-17933.541256122393,-0.13714223311963655
광주,2030,278,278,109732.54507003332,394.7213851440047,402.84643566030354,13,203.0,4.0,5.0,0.09190504501501476,-21033.454929966683,-0.16084804100428768
대구,2025,390,390,185303.0,475.13589743589745,429.0,9,,,,0.26498790233285935,0.0,0.0
대구,2026,390,390,179323.88195684124,459.80482553036217,414.2836281185878,12,,,,0.26498790233285935,-5979.118043158756,-0.03226670935256718
대구,2027,390,390,173186.84267215483,444.06882736449955,404.2207308179169,13,,,,0.26498790233285935,-12116.157327845169,-0.06538565121905834
대구,2028,390,390,167484.87594959952,429.448399870768,383.545907293328,14,,,,0.26498790233285935,-17818.12405040048,-0.09615669498281454
대구,2029,390,390,162539.94532761842,416.76909058363697,366.7027340787132,16,,,,0.26498790233285935,-22763.05467238158,-0.122842342932287
대구,2030,390,390,158720.28293569514,406.97508445050033,358.59317413481597,17,286.0,8.0,9.0,0.26498790233285935,-26582.71706430486,-0.1434554058180648
대전,2025,271,271,122929.0,453.6125461254613,438.0,13,,,,0.08276204611329582,0.0,0.0
대전,2026,271,271,118366.02022120464,436.7749823660688,409.7909459911333,14,,,,0.08276204611329582,-4562.979778795358,-0.03711882288797076
대전,2027,271,271,113766.786070946,419.8036386381771,391.0309839417289,14,,,,0.08276204611329582,-9162.213929054007,-0.07453256700252997
대전,2028,271,271,109835.5933504383,405.2973924370417,363.0853125970969,16,,,,0.08276204611329582,-13093.4066495617,-0.10651194306926519
대전,2029,271,271,106238.69013026869,392.0246868275597,354.27289263224327,17,,,,0.08276204611329582,-16690.30986973131,-0.13577194860229327
대전,2030,271,271,103032.52604182693,380.1938230325717,336.76090970006726,17,190.0,4.0,5.0,0.08276204611329582,-19896.47395817307,-0.161853378439368
부산,2025,542,542,232387.0,428.75830258302585,424.5,21,,,,0.07603804262927108,0.0,0.0
부산,2026,542,542,224882.70570491918,414.9127411529874,411.47633130024127,21,,,,0.07603804262927108,-7504.294295080821,-0.03229222932040442
부산,2027,542,542,217062.93732406315,400.48512421413864,396.7952160066162,24,,,,0.07603804262927108,-15324.062675936846,-0.06594199622154788
부산,2028,542,542,209286.7816271482,386.1379734818232,384.12470614792164,28,,,,0.07603804262927108,-23100.218372851814,-0.0994040904734422
부산,2029,542,542,202890.98174901877,374.33760470298665,369.4238054136925,37,,,,0.07603804262927108,-29496.01825098123,-0.12692628353126995
부산,2030,542,542,197840.91067533055,365.0201303972888,356.19420064540196,41,370.0,2.0,4.0,0.07603804262927108,-34546.08932466945,-0.14865758121009112
서울,2025,1179,1179,635318.0,538.8617472434266,485.0,1,,,,0.0104184261299689,0.0,0.0
서울,2026,1179,1179,614322.496907221,521.0538565794919,472.9025462667096,1,,,,0.0104184261299689,-20995.503092778963,-0.03304723475925279
서울,2027,1179,1179,593181.6790463519,503.1227133556844,457.3337623078157,3,,,,0.0104184261299689,-42136.32095364807,-0.06632319712907249
서울,2028,1179,1179,572833.1914378168,485.8636059693103,436.66728310155816,4,,,,0.0104184261299689,-62484.80856218317,-0.09835201987380048
서울,2029,1179,1179,554109.0455291665,469.98222691193087,422.62308819572127,4,,,,0.0104184261299689,-81208.95447083353,-0.1278241045757141
서울,2030,1179,1179,539001.0440484649,457.167976292167,410.7676962586066,5,866.0,0.0,0.0,0.0104184261299689,-96316.95595153514,-0.1516043240574565
세종,2025,47,47,17422.0,370.6808510638298,393.0,6,,,,0.7108004963494945,0.0,0.0
세종,2026,47,47,17358.10487600694,369.32138034057317,393.5203659745795,7,,,,0.7108004963494945,-63.895123993061134,-0.003667496498281548
