rank,school_key,school_name,sido,sgg,school_level,student_count_2025,pred_student_count_2030,delta_2025_2030,pct_change_2025_2030,isolation_score,nearest_same_level_school_km,same_level_school_count_5km,priority_score_2030,latitude,longitude,coordinate_valid,priority_reason
1,부산|강서구|초등학교|명호초등학교|본교,명호초등학교,부산,강서구,초등학교,1384.0,1001.290777381182,-382.709222618818,-0.2765240047823829,0.0793132318996576,0.7931323189965761,9.0,65.62120113259986,35.085128,128.900092,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
2,경기|화성시|초등학교|동탄목동초등학교|본교,동탄목동초등학교,경기,화성시,초등학교,1427.0,1045.2290928023715,-381.7709071976285,-0.26753392235292817,0.1404418973945357,0.8426513843672141,5.0,67.43603626029737,37.1994932,126.8311886999,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
3,서울|동작구|초등학교|서울신상도초등학교|본교,서울신상도초등학교,서울,동작구,초등학교,1208.0,842.9976301925885,-365.00236980741147,-0.3021542796418969,0.0067133846392335,0.590777848252548,87.0,50.9874597694041,37.500323,126.943968,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
4,경기|용인시|초등학교|용인한얼초등학교|본교,용인한얼초등학교,경기,용인시,초등학교,1173.0,810.2907099784051,-362.70929002159494,-0.3092150810073273,0.0157175369304929,0.6915716249416887,43.0,57.4975091434358,37.271086,127.121827,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
5,경남|창원시|초등학교|의창초등학교|본교,의창초등학교,경남,창원시,초등학교,1738.0,1385.8385576795242,-352.16144232047577,-0.202624535282207,0.0349834655041871,0.909570103108865,25.0,57.74673028290599,35.2538,128.6298,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
6,대구|북구|초등학교|대구칠성초등학교|본교,대구칠성초등학교,대구,북구,초등학교,1256.0,908.08651075191,-347.91348924808995,-0.277001185707078,0.0104563095725099,0.7423979796482039,70.0,52.18964763626872,35.886647,128.593695,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
7,경기|남양주시|초등학교|남양주다산초등학교|본교,남양주다산초등학교,경기,남양주시,초등학교,1183.0,836.5833815241798,-346.4166184758202,-0.292828925169755,0.0135929376931547,0.5301245700330343,38.0,56.00904481365668,37.626819,127.158441,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
8,서울|마포구|초등학교|서울염리초등학교|본교,서울염리초등학교,서울,마포구,초등학교,1330.0,985.4963727176874,-344.50362728231255,-0.2590252836709117,0.0073240326291152,0.5639505124418721,76.0,49.225995171733665,37.542562,126.945821,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
9,대전|서구|초등학교|대전도솔초등학교|본교,대전도솔초등학교,대전,서구,초등학교,1226.0,885.7672708758253,-340.23272912417474,-0.27751446094957155,0.0176946077586103,0.8139519568960772,45.0,56.05982652386036,36.3112003508,127.3472730979,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
10,제주|제주시|초등학교|외도초등학교|본교,외도초등학교,제주,제주시,초등학교,1276.0,939.672164277314,-336.327835722686,-0.26357980856009877,0.1496965624544508,1.7963587494534097,11.0,66.2268329246086,33.4927409,126.4342679,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
11,경기|화성시|초등학교|푸른초등학교|본교,푸른초등학교,경기,화성시,초등학교,1106.0,776.2081221741145,-329.79187782588554,-0.2981843379980882,0.0104342009135583,0.5843152511592665,55.0,53.85365155692216,37.2023724,127.0553176,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
12,서울|관악구|초등학교|서울구암초등학교|본교,서울구암초등학교,서울,관악구,초등학교,1249.0,919.9907182211778,-329.00928177882224,-0.2634181599510186,0.005740005064686,0.4592004051748812,79.0,48.369281075597605,37.4892099,126.9469194,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
13,서울|강서구|초등학교|서울신정초등학교|본교,서울신정초등학교,서울,강서구,초등학교,1083.0,754.0081342913265,-328.99186570867346,-0.3037782693524224,0.0070317147856996,0.6680129046414678,94.0,51.191220786198485,37.5320724314,126.8523594393,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
14,경기|평택시|초등학교|현촌초등학교|본교,현촌초등학교,경기,평택시,초등학교,1146.0,817.1368418304604,-328.8631581695396,-0.2869661066051829,0.0313442944484639,0.940328833453919,29.0,60.5670980972872,37.0002674,127.1321841,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
15,경기|하남시|초등학교|윤슬초등학교|본교,윤슬초등학교,경기,하남시,초등학교,1210.0,883.4085841483624,-326.59141585163763,-0.2699102610344113,0.0049772773050746,0.2438865879486553,48.0,49.461281323557664,37.5634885,127.1825261,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
16,서울|노원구|초등학교|서울중평초등학교|본교,서울중평초등학교,서울,노원구,초등학교,1181.0,857.8317580797761,-323.16824192022386,-0.2736394935819,0.0056533303521445,0.5992530173273211,105.0,48.425680459387195,37.637534746,127.0639633756,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
17,서울|송파구|초등학교|서울잠일초등학교|본교,서울잠일초등학교,서울,송파구,초등학교,1524.0,1204.515265003878,-319.4847349961219,-0.20963565288459443,0.0068354096643854,0.5605035924796073,81.0,46.7111248889071,37.5147399506,127.081635084,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
18,경기|남양주시|초등학교|다산가람초등학교|본교,다산가람초등학교,경기,남양주시,초등학교,1188.0,868.7467470731756,-319.2532529268244,-0.26873169438284883,0.0189033098480745,0.7750357037710575,40.0,56.330608136695616,37.621196,127.152911,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
19,충북|청주시|초등학교|각리초등학교|본교,각리초등학교,충북,청주시,초등학교,1039.0,722.1394389213841,-316.8605610786159,-0.304966853781151,0.092732431279235,0.6491270189546453,6.0,68.28582726865567,36.706582,127.4246729,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
20,충남|당진시|초등학교|탑동초등학교|본교,탑동초등학교,충남,당진시,초등학교,1141.0,825.2423283582175,-315.7576716417825,-0.27673766138631245,0.1255883235754872,1.0047065886038975,7.0,67.10690217552744,36.897549,126.623025,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
21,서울|성북구|초등학교|서울길원초등학교|본교,서울길원초등학교,서울,성북구,초등학교,1069.0,754.5372819740493,-314.4627180259507,-0.29416531153035613,0.0057489219425526,0.4541648334616583,78.0,49.97058530745849,37.6090652757,127.0167979152,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
22,경기|수원시|초등학교|매탄초등학교|본교,매탄초등학교,경기,수원시,초등학교,1080.0,768.8435047070697,-311.15649529293034,-0.2881078660119725,0.0039711054525117,0.285919592580846,71.0,48.86949488349931,37.2641452,127.0432488,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
23,경기|시흥시|초등학교|시흥가온초등학교|본교,시흥가온초등학교,경기,시흥시,초등학교,1547.0,1240.760881798584,-306.239118201416,-0.19795676677531737,0.0302007511376893,0.9664240364060602,31.0,56.260575708065716,37.3736986211696,126.794303346373,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
24,경기|고양시|초등학교|양일초등학교|본교,양일초등학교,경기,고양시,초등학교,1078.0,773.607476365761,-304.39252363423896,-0.2823678326848228,0.0273771947738025,1.1772193752735096,42.0,58.67723587892792,37.685687,126.813421,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
25,대구|수성구|초등학교|대구동천초등학교|본교,대구동천초등학교,대구,수성구,초등학교,1639.0,1339.939957578116,-299.06004242188396,-0.18246494351548748,0.0109015962972307,0.75221014450892,68.0,48.54178828950951,35.865845443,128.6252837996,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
26,경기|광명시|초등학교|철산초등학교|본교,철산초등학교,경기,광명시,초등학교,1246.0,948.2365430778514,-297.76345692214863,-0.23897548709642746,0.0019793554148683,0.174183276508412,87.0,45.37910738074503,37.4697965,126.8746592,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
27,충남|천안시|초등학교|천안불당초등학교|본교,천안불당초등학교,충남,천안시,초등학교,1109.0,812.5322725722041,-296.4677274277959,-0.26732887955617307,0.0090578835664849,0.4710099454572152,51.0,51.60279065616642,36.806261,127.108869,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
28,인천|서구|초등학교|인천청라초등학교|본교,인천청라초등학교,인천,서구,초등학교,1281.0,985.140893335722,-295.859106664278,-0.23095948997992036,0.0263269693678246,0.9214439278738624,34.0,56.614909136857946,37.5377499531,126.655695414,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
29,경기|용인시|초등학교|동백초등학교|본교,동백초등학교,경기,용인시,초등학교,1005.0,709.2682992839398,-295.73170071606023,-0.29426039872244797,0.0219815128256827,0.6154823591191176,27.0,59.48651525899701,37.2805583,127.1561125,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
30,울산|울주군|초등학교|무거초등학교|본교,무거초등학교,울산,울주군,초등학교,969.0,673.6272497054329,-295.37275029456714,-0.3048222397260755,0.0090089828195885,0.2162155876701244,23.0,56.164670272141656,35.55225,129.25354,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
