rank,school_key,school_name,sido,sgg,school_level,student_count_2025,pred_student_count_2030,delta_2025_2030,pct_change_2025_2030,isolation_score,nearest_same_level_school_km,same_level_school_count_5km,priority_score_2030,latitude,longitude,coordinate_valid,priority_reason
1,충북|제천시|고등학교|제천디지털전자고등학교|본교,제천디지털전자고등학교,충북,제천시,고등학교,44.0,6.2953898038497815,-37.70461019615022,-0.8569229590034141,7.874061806607014,7.874061806607014,0.0,85.03333903390126,37.140802,128.115472,True,2030 small-school and isolation conditions indicate high priority.
2,경남|함양군|초등학교|안의초등학교|본교,안의초등학교,경남,함양군,초등학교,54.0,22.61604260539829,-31.38395739460171,-0.5811843961963279,7.882774797744472,7.882774797744472,0.0,83.19911335792229,35.629698,127.809036,True,2030 small-school and isolation conditions indicate high priority.
3,경북|청도군|고등학교|금천고등학교|본교,금천고등학교,경북,청도군,고등학교,30.0,9.084304703302864,-20.915695296697137,-0.697189843223238,12.579352491037127,12.579352491037127,0.0,81.19373182108932,35.6881524873,128.8949955146,True,2030 small-school and isolation conditions indicate high priority.
4,전북|남원시|초등학교|운봉초등학교|본교,운봉초등학교,전북,남원시,초등학교,80.0,49.62138364612471,-30.378616353875287,-0.3797327044234411,6.681004379395199,6.681004379395199,0.0,80.52400263656148,35.4411452,127.5330511,True,2030 small-school and isolation conditions indicate high priority.
5,전남|해남군|초등학교|우수영초등학교|본교,우수영초등학교,전남,해남군,초등학교,52.0,23.22273789775531,-28.77726210224469,-0.5534088865816287,2.479088601456454,4.958177202912908,1.0,79.37133814847078,34.6038523,126.3127386,True,2030 small-school and isolation conditions indicate high priority.
6,인천|옹진군|초등학교|북포초등학교|본교,북포초등학교,인천,옹진군,초등학교,65.0,38.12544694862663,-26.87455305137337,-0.41345466232882105,5.060829804880429,5.060829804880429,0.0,79.00125446048546,37.9586224324,124.6616317942,True,2030 small-school and isolation conditions indicate high priority.
7,인천|옹진군|초등학교|덕적초등학교|본교,덕적초등학교,인천,옹진군,초등학교,17.0,2.15766551226914,-14.84233448773086,-0.8730784992782858,10.727199797270623,10.727199797270623,0.0,78.91803483194639,37.2253805937,126.148196886,True,2030 small-school and isolation conditions indicate high priority.
8,강원|인제군|고등학교|신남고등학교|본교,신남고등학교,강원,인제군,고등학교,18.0,3.523806092454276,-14.476193907545724,-0.8042329948636513,14.207414663199062,14.207414663199062,0.0,78.86591906439332,37.9704889,128.0791204,True,2030 small-school and isolation conditions indicate high priority.
9,충남|서산시|초등학교|강당초등학교|본교,강당초등학교,충남,서산시,초등학교,36.0,16.111673564886623,-19.888326435113377,-0.5524535120864827,5.954428725512906,5.954428725512906,0.0,78.58139591961475,36.6622149812,126.4020603095,True,2030 small-school and isolation conditions indicate high priority.
10,충남|보령시|초등학교|광명초등학교|본교,광명초등학교,충남,보령시,초등학교,15.0,0.0,-15.0,-1.0,6.604613432102645,6.604613432102645,0.0,77.99147599764713,36.3712363,126.4314014,True,2030 small-school and isolation conditions indicate high priority.
11,강원|홍천군|초등학교|대곡초등학교|본교,대곡초등학교,강원,홍천군,초등학교,26.0,10.695356127406232,-15.304643872593768,-0.5886401489459142,6.840767230616127,6.840767230616127,0.0,77.52085281350207,37.6285645946,127.6486931104,True,2030 small-school and isolation conditions indicate high priority.
12,강원|횡성군|초등학교|강림초등학교|본교,강림초등학교,강원,횡성군,초등학교,18.0,4.814067144485028,-13.185932855514972,-0.7325518253063873,7.968301252180365,7.968301252180365,0.0,77.42668381180798,37.358432,128.1200129,True,2030 small-school and isolation conditions indicate high priority.
13,전남|해남군|초등학교|황산초등학교|본교,황산초등학교,전남,해남군,초등학교,44.0,26.619674547272297,-17.380325452727703,-0.39500739665290235,7.718660738521105,7.718660738521105,0.0,77.3582786439674,34.5759833,126.42855,True,2030 small-school and isolation conditions indicate high priority.
14,대구|군위군|초등학교|대구송원초등학교|본교,대구송원초등학교,대구,군위군,초등학교,12.0,0.0,-12.0,-1.0,8.421897510047746,8.421897510047746,0.0,77.23825132260467,36.25398014882646,128.47663698083323,True,2030 small-school and isolation conditions indicate high priority.
15,경북|고령군|초등학교|쌍림초등학교|본교,쌍림초등학교,경북,고령군,초등학교,36.0,19.39859783097381,-16.60140216902619,-0.4611500602507275,6.351696876077336,6.351696876077336,0.0,77.19272036988438,35.681743,128.242212,True,2030 small-school and isolation conditions indicate high priority.
