rank,school_key,school_name,sido,sgg,school_level,student_count_2025,pred_student_count_2030,delta_2025_2030,pct_change_2025_2030,isolation_score,nearest_same_level_school_km,same_level_school_count_5km,priority_score_2030,latitude,longitude,coordinate_valid,priority_reason
1,강원|인제군|고등학교|신남고등학교|본교,신남고등학교,강원,인제군,고등학교,18.0,3.523806092454276,-14.476193907545724,-0.8042329948636513,14.207414663199062,14.207414663199062,0.0,78.86591906439332,37.9704889,128.0791204,True,2030 small-school and isolation conditions indicate high priority.
2,강원|홍천군|초등학교|대곡초등학교|본교,대곡초등학교,강원,홍천군,초등학교,26.0,10.695356127406232,-15.304643872593768,-0.5886401489459142,6.840767230616127,6.840767230616127,0.0,77.52085281350207,37.6285645946,127.6486931104,True,2030 small-school and isolation conditions indicate high priority.
3,강원|횡성군|초등학교|강림초등학교|본교,강림초등학교,강원,횡성군,초등학교,18.0,4.814067144485028,-13.185932855514972,-0.7325518253063873,7.968301252180365,7.968301252180365,0.0,77.42668381180798,37.358432,128.1200129,True,2030 small-school and isolation conditions indicate high priority.
4,강원|삼척시|초등학교|오저초등학교|본교,오저초등학교,강원,삼척시,초등학교,18.0,6.972107949760836,-11.027892050239164,-0.6126606694577313,11.91580475350149,11.91580475350149,0.0,76.47496045368273,37.1466459,129.2066711,True,2030 small-school and isolation conditions indicate high priority.
5,강원|평창군|초등학교|계촌초등학교|본교,계촌초등학교,강원,평창군,초등학교,25.0,12.76701569311283,-12.23298430688717,-0.4893193722754868,8.2192183688317,8.2192183688317,0.0,76.25823932322643,37.4530084,128.3039464,True,2030 small-school and isolation conditions indicate high priority.
6,강원|원주시|초등학교|신림초등학교|본교,신림초등학교,강원,원주시,초등학교,33.0,19.92818303544277,-13.071816964557229,-0.3961156655926433,9.702088829383811,9.702088829383811,0.0,76.11718069481933,37.2315538209,128.0786991368,True,2030 small-school and isolation conditions indicate high priority.
7,강원|양구군|중학교|해안중학교|본교,해안중학교,강원,양구군,중학교,12.0,1.6719349558953105,-10.32806504410469,-0.8606720870087242,9.502758614313446,9.502758614313446,0.0,76.08489216931031,38.2837699052,128.135685716,True,2030 small-school and isolation conditions indicate high priority.
8,강원|정선군|초등학교|여량초등학교|본교,여량초등학교,강원,정선군,초등학교,18.0,6.431452621935612,-11.568547378064387,-0.6426970765591327,7.205517513321432,7.205517513321432,0.0,75.91574572204377,37.4715833011,128.7279691098,True,2030 small-school and isolation conditions indicate high priority.
9,강원|정선군|초등학교|화동초등학교|본교,화동초등학교,강원,정선군,초등학교,17.0,5.285954112870845,-11.714045887129155,-0.6890615227723033,6.755052417786536,6.755052417786536,0.0,75.82963070953531,37.3389061,128.787473,True,2030 small-school and isolation conditions indicate high priority.
10,강원|고성군|고등학교|대진고등학교|본교,대진고등학교,강원,고성군,고등학교,14.0,0.6643323531843821,-13.335667646815619,-0.9525476890582585,5.10390907456255,5.10390907456255,0.0,75.79961327527809,38.4848412004,128.4334157871,True,2030 small-school and isolation conditions indicate high priority.
11,강원|홍천군|중학교|화촌중학교|본교,화촌중학교,강원,홍천군,중학교,13.0,3.022897451037736,-9.977102548962264,-0.7674694268432511,8.183521558446966,8.183521558446966,0.0,75.34614780004719,37.755323,127.96255,True,2030 small-school and isolation conditions indicate high priority.
12,강원|춘천시|초등학교|추곡초등학교|본교,추곡초등학교,강원,춘천시,초등학교,10.0,0.0,-10.0,-1.0,6.177216611097778,6.177216611097778,0.0,74.71806059614629,38.0244833,127.8822125,True,2030 small-school and isolation conditions indicate high priority.
13,강원|횡성군|초등학교|춘당초등학교|본교,춘당초등학교,강원,횡성군,초등학교,12.0,0.9084596560836729,-11.091540343916327,-0.9242950286596939,5.437233107682033,5.437233107682033,0.0,74.69313025072317,37.6304347041,128.145452162,True,2030 small-school and isolation conditions indicate high priority.
14,강원|횡성군|중학교|서원중학교|본교,서원중학교,강원,횡성군,중학교,15.0,5.983373273903733,-9.016626726096266,-0.6011084484064178,10.134662014539677,10.134662014539677,0.0,74.69046163271014,37.48701,127.84675,True,2030 small-school and isolation conditions indicate high priority.
15,강원|삼척시|중학교|하장중학교|본교,하장중학교,강원,삼척시,중학교,9.0,0.7986434020852422,-8.201356597914758,-0.9112618442127509,13.17742292031303,13.17742292031303,0.0,74.63452163758112,37.3528412,128.9353492,True,2030 small-school and isolation conditions indicate high priority.
16,강원|정선군|초등학교|백전초등학교|본교,백전초등학교,강원,정선군,초등학교,15.0,4.704420229115555,-10.295579770884444,-0.6863719847256297,6.114693712248548,6.114693712248548,0.0,74.42390932392613,37.2744983,128.8729971,True,2030 small-school and isolation conditions indicate high priority.
17,강원|춘천시|중학교|신포중학교|본교,신포중학교,강원,춘천시,중학교,8.0,0.0,-8.0,-1.0,9.743321115618503,9.743321115618503,0.0,74.40491813263964,38.025767,127.642475,True,2030 small-school and isolation conditions indicate high priority.
18,강원|인제군|초등학교|월학초등학교|본교,월학초등학교,강원,인제군,초등학교,21.0,9.436260621431124,-11.563739378568876,-0.5506542561223274,5.426959024026244,5.426959024026244,0.0,74.38774349406367,38.1712944,128.2089213,True,2030 small-school and isolation conditions indicate high priority.
19,강원|원주시|초등학교|황둔초등학교|본교,황둔초등학교,강원,원주시,초등학교,21.0,10.883084728751175,-10.116915271248825,-0.48175787005946785,7.357332605038269,7.357332605038269,0.0,74.35797611548674,37.26165,128.185962,True,2030 small-school and isolation conditions indicate high priority.
20,강원|고성군|초등학교|거진초등학교|본교,거진초등학교,강원,고성군,초등학교,59.0,35.208584993942026,-23.791415006057974,-0.40324432213657585,0.9598392595101336,1.919678519020267,1.0,74.35627656046596,38.4384612,128.4448075,True,2030 small-school and isolation conditions indicate high priority.
21,경기|안성시|초등학교|죽산초등학교|본교,죽산초등학교,경기,안성시,초등학교,111.0,54.3069934139288,-56.6930065860712,-0.5107478070817225,1.3932972704249778,4.179891811274933,2.0,81.66257231184744,37.0779108,127.4208798,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
22,경기|포천시|초등학교|신북초등학교|본교,신북초등학교,경기,포천시,초등학교,90.0,43.92165787370509,-46.07834212629491,-0.5119815791810546,0.7507935681185189,3.003174272474076,3.0,78.38111289593468,37.9385580651,127.219880396,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
23,경기|광주시|초등학교|도수초등학교|본교,도수초등학교,경기,광주시,초등학교,442.0,280.3664436091197,-161.6335563908803,-0.36568677916488757,1.5073846836837237,3.014769367367447,1.0,77.92725186144376,37.471956,127.317533,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
24,경기|용인시|초등학교|남사초등학교|본교,남사초등학교,경기,용인시,초등학교,77.0,35.64926355352168,-41.35073644647832,-0.5370225512529653,0.4036881662465633,1.6147526649862531,3.0,76.15861425758281,37.113649,127.1483,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
25,경기|안산시|초등학교|본오초등학교|본교,본오초등학교,경기,안산시,초등학교,554.0,372.7623213047943,-181.23767869520572,-0.3271438243595771,0.9853250371472568,1.9706500742945137,1.0,75.7784664347309,37.17404,126.52063,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
26,경기|화성시|초등학교|비봉초등학교|본교,비봉초등학교,경기,화성시,초등학교,98.0,53.87288526878587,-44.12711473121413,-0.4502766809307564,0.2718130378896689,1.0872521515586755,3.0,75.21462006791596,37.236744,126.869261,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
27,경기|포천시|초등학교|창수초등학교|본교,창수초등학교,경기,포천시,초등학교,34.0,18.655934661749697,-15.344065338250303,-0.45129603936030305,2.4100686964546414,4.820137392909283,1.0,74.19937757961146,37.990051,127.181913,True,2030 small-school and isolation conditions indicate high priority.
28,경기|포천시|초등학교|포담초등학교|본교,포담초등학교,경기,포천시,초등학교,77.0,53.82417179513573,-23.175828204864267,-0.30098478188135414,6.434030958831743,6.434030958831743,0.0,74.07860709185181,38.014606,127.248404,True,2030 small-school and isolation conditions indicate high priority.
29,경기|포천시|초등학교|이동초등학교|본교,이동초등학교,경기,포천시,초등학교,78.0,49.67154374163028,-28.32845625836972,-0.36318533664576563,1.0348947900612602,3.1046843701837803,2.0,73.85282150017999,38.0299793482,127.3681909282,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
30,경기|이천시|초등학교|진가초등학교|본교,진가초등학교,경기,이천시,초등학교,45.0,25.89359986480253,-19.10640013519747,-0.4245866696710549,1.259870909546906,2.519741819093812,1.0,73.66544816722319,37.1747524747,127.4792099702,True,2030 small-school and isolation conditions indicate high priority.
31,경기|양평군|초등학교|양동초등학교고송분교장|분교장,양동초등학교고송분교장,경기,양평군,초등학교,9.0,0.194171875125904,-8.805828124874097,-0.9784253472082329,5.61223684289027,5.61223684289027,0.0,73.03875491506975,37.48625360427005,127.70028059532854,True,2030 small-school and isolation conditions indicate high priority.
32,경기|양평군|중학교|지평중학교|본교,지평중학교,경기,양평군,중학교,59.0,38.47000408881276,-20.529995911187243,-0.3479660323930041,1.899065906287383,3.798131812574766,1.0,72.83259610909518,37.474442,127.6353,True,2030 small-school and isolation conditions indicate high priority.
33,경기|고양시|초등학교|내유초등학교|본교,내유초등학교,경기,고양시,초등학교,682.0,440.3250256203213,-241.6749743796787,-0.35436213252152304,0.2607155879943412,2.3464402919490706,8.0,72.75321933076003,37.7156679,126.851875,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
34,경기|연천군|초등학교|연천노곡초등학교|본교,연천노곡초등학교,경기,연천군,초등학교,21.0,8.33058269568507,-12.66941730431493,-0.6033055859197586,1.828088857898771,3.656177715797542,1.0,72.66183731744403,37.9989771,126.9167501,True,2030 small-school and isolation conditions indicate high priority.
